Sale_ID,Region,Cookie_Variety,Total_Boxes_Purchased,Sales_Amount,Sale_Date,Customer_ID,Age_Group,Gender,Household_Income,Family_Size,Customer_City,Customer_State,Price_Per_Box,Loyalty_Program_Participation,Preferred_Sales_Channel,Preferred_Payment_Method,Satisfaction_Rating,Troop_ID,Troop_Size,Troop_Leader_Name,Channel_Type
61,South,Tagalongs,2,12,8/6/2024,1442,36-45,Male,$50-100k,2,Choctaw, OK,6,Yes,Door-to-Door,Credit Card,1,371,16,Mecca,Door-to-Door
62,West,Thin Mints,3,18,7/23/2024,1421,18-25,Female,$100-150k,3,Scottsdale, AZ,6,No,Online,Credit Card,1,128,13,Lydia,Online
63,Midwest,Trefoils,2,12,4/17/2024,1322,18-25,Male,$150-200k,4,Hilliard, OH,6,No,Door-to-Door,Mobile Payment,5,5957,9,Ella,Booth
64,Northeast,Trefoils,9,54,4/21/2024,1134,36-45,Male,$100-150k,2,Secaucus, NJ,6,Yes,Online,Cash,5,10289,17,Ivy,Door-to-Door
65,Southeast,Trefoils,3,18,5/4/2024,1019,18-25,Female,$100-150k,5,Jacksonville, FL,6,Yes,Booth,Credit Card,5,72011,8,Stella,Online
66,Northeast,Samoas,8,48,6/30/2024,1097,36-45,Female,$150-200k,5,Secaucus, NJ,6,Yes,Booth,Mobile Payment,5,10289,17,Ivy,Door-to-Door
67,Northeast,Samoas,5,30,2/3/2024,1031,26-35,Male,$100-150k,6,Bayonne, NJ,6,Yes,Door-to-Door,Mobile Payment,4,12052,17,Annie,Booth
68,Southeast,Trefoils,10,60,2/13/2024,1078,26-35,Male,$50-100k,6,Alpharetta, GA,6,No,Online,Mobile Payment,4,20626,8,Nia,Booth
69,West,Tagalongs,2,12,10/21/2024,1177,26-35,Male,$100-150k,2,Hillsboro, OR,6,Yes,Door-to-Door,Credit Card,2,10777,8,Mia,Door-to-Door
70,West,Tagalongs,8,48,5/30/2024,1418,36-45,Female,$100-150k,6,Hillsboro, OR,6,Yes,Door-to-Door,Mobile Payment,2,10777,8,Mia,Booth
71,Southeast,Toast-Yay!,9,54,5/17/2024,1273,18-25,Female,$50-100k,2,Matthews, NC,6,No,Booth,Mobile Payment,5,664,19,Scarlett,Booth
72,Northeast,Tagalongs,8,48,6/18/2024,1334,18-25,Female,$50-100k,4,Bronx, NY,6,Yes,Door-to-Door,Mobile Payment,3,1236,19,Sydney,Booth
73,Southeast,Do-si-dos,4,24,2/6/2024,1333,18-25,Female,<$50k,5,St. Augustine, FL,6,No,Door-to-Door,Credit Card,3,53021,8,Autumn,Booth
74,Southeast,Do-si-dos,3,18,1/12/2024,1230,46-55,Female,$150-200k,3,Charleston, SC,6,Yes,Booth,Mobile Payment,3,3618,17,Jayla,Online
75,Southeast,Do-si-dos,3,18,8/15/2024,1245,18-25,Male,$100-150k,4,Miami, FL,6,Yes,Online,Cash,3,2417,10,Ruby,Booth
76,Southeast,Lemon-Ups,1,6,3/24/2024,1184,26-35,Male,<$50k,3,Middleburg, FL,6,No,Online,Credit Card,4,31115,9,Lila,Booth
77,South,Adventurefuls,5,30,4/29/2024,1041,26-35,Female,$50-100k,3,Oklahoma City, OK,6,No,Booth,Credit Card,3,3115,10,Savannah,Door-to-Door
78,Northeast,Samoas,10,60,1/18/2024,1453,46-55,Female,<$50k,5,Hoboken, NJ,6,No,Booth,Cash,5,12019,17,Layla,Door-to-Door
79,Northeast,Tagalongs,1,6,5/25/2024,1276,36-45,Female,$100-150k,2,Bethesda, MD,6,Yes,Door-to-Door,Cash,4,2059,14,Roxy,Booth
80,Southeast,Tagalongs,9,54,3/2/2024,1123,26-35,Female,$100-150k,2,Charlotte, NC,6,Yes,Booth,Mobile Payment,2,41,20,Alexis,Booth
81,South,Girl Scout S'mores,1,6,1/9/2024,1194,36-45,Female,$50-100k,3,Arlington, VA,6,No,Door-to-Door,Cash,3,60031,14,Essence,Door-to-Door
82,Northeast,Do-si-dos,6,36,7/5/2024,1134,36-45,Male,$100-150k,2,Secaucus, NJ,6,No,Online,Cash,4,10289,17,Ivy,Door-to-Door
83,South,Girl Scout S'mores,2,12,6/22/2024,1427,18-25,Male,$50-100k,3,Choctaw, OK,6,No,Booth,Cash,1,371,8,Mecca,Online
84,Northeast,Toffee-tastic,7,42,4/18/2024,1352,18-25,Female,$50-100k,2,Albany, NY,6,Yes,Door-to-Door,Credit Card,5,1188,15,Amber,Door-to-Door
85,South,Tagalongs,6,36,10/24/2024,1474,26-35,Female,$100-150k,5,Choctaw, OK,6,No,Booth,Credit Card,4,371,19,Mecca,Door-to-Door
86,Northeast,Do-si-dos,5,30,5/14/2024,1371,18-25,Female,$100-150k,6,Wilkes-Barre, PA,6,No,Booth,Cash,1,30130,18,Emilia,Online
87,Southeast,Toffee-tastic,2,12,4/26/2024,1336,18-25,Female,$100-150k,2,St. Augustine, FL,6,Yes,Online,Mobile Payment,2,53021,12,Autumn,Online
88,Northeast,Samoas,7,42,7/31/2024,1403,46-55,Male,<$50k,3,Brooklyn, NY,6,Yes,Door-to-Door,Mobile Payment,3,2524,16,Teyana,Door-to-Door
89,Northeast,Thin Mints,3,18,6/6/2024,1170,46-55,Female,$100-150k,4,Pittston, PA,6,No,Online,Cash,4,3088,18,Daisy,Booth
90,Southeast,Samoas,3,18,3/11/2024,1245,18-25,Male,$100-150k,4,Miami, FL,6,No,Online,Mobile Payment,2,2417,10,Ruby,Booth
91,Northeast,Thin Mints,7,42,6/9/2024,1255,18-25,Male,$100-150k,3,Jersey City, NJ,6,No,Door-to-Door,Credit Card,2,12316,17,Lucy,Online
92,West,Samoas,4,24,7/20/2024,1061,46-55,Male,$150-200k,6,Inglewood, CA,6,No,Door-to-Door,Mobile Payment,4,5071,11,Avery,Online
93,Northeast,Thin Mints,9,54,9/15/2024,1371,18-25,Female,$100-150k,6,Wilkes-Barre, PA,6,No,Online,Credit Card,2,30130,18,Emilia,Door-to-Door
94,Southeast,Caramel Chocolate Chip,10,60,6/18/2024,1011,26-35,Male,$100-150k,2,Doral, FL,6,No,Door-to-Door,Mobile Payment,4,2405,10,Madison,Online
95,Southeast,Thin Mints,9,54,3/8/2024,1331,36-45,Female,$100-150k,4,Huntersville, NC,6,No,Booth,Cash,3,3491,13,Gabriella,Online
96,Northeast,Samoas,9,54,9/24/2024,1087,36-45,Male,$50-100k,4,New York, NY,6,Yes,Booth,Credit Card,4,3990,8,Kennedy,Online
97,Northeast,Tagalongs,3,18,8/21/2024,1213,36-45,Male,<$50k,6,Wethersfield, CT,6,Yes,Booth,Credit Card,1,10288,14,Delilah,Door-to-Door
98,Northeast,Toffee-tastic,3,18,8/5/2024,1030,36-45,Female,$100-150k,2,New York, NY,6,Yes,Door-to-Door,Cash,2,3990,8,Kennedy,Booth
99,Southeast,Trefoils,9,54,5/13/2024,1210,18-25,Male,$100-150k,2,Middleburg, FL,6,Yes,Booth,Credit Card,4,31115,15,Lila,Booth
100,West,Lemonades,3,18,3/23/2024,1122,36-45,Male,$50-100k,6,Portland, OR,6,No,Booth,Cash,3,10457,8,Eliana,Booth
101,Southeast,Thin Mints,10,60,4/16/2024,1253,46-55,Female,$150-200k,6,Middleburg, FL,6,No,Booth,Credit Card,5,31115,9,Lila,Online
102,West,Thin Mints,2,12,6/30/2024,1455,26-35,Male,<$50k,3,Scottsdale, AZ,6,No,Booth,Credit Card,2,128,13,Lydia,Booth
103,Southeast,Samoas,5,30,8/24/2024,1499,26-35,Male,$150-200k,2,Callahan, FL,6,Yes,Door-to-Door,Cash,2,63013,9,De'ana,Online
104,Northeast,Trefoils,3,18,8/21/2024,1035,36-45,Male,$100-150k,5,Hartford, CT,6,Yes,Booth,Mobile Payment,3,10057,14,Aria,Booth
105,Southeast,Trefoils,6,36,3/22/2024,1178,36-45,Female,$100-150k,4,Tucker, GA,6,No,Online,Mobile Payment,1,15239,19,Isla,Online
106,Southeast,Trefoils,4,24,4/11/2024,1344,26-35,Female,$100-150k,2,Doral, FL,6,No,Online,Cash,2,2405,10,Madison,Booth
107,Southeast,Toast-Yay!,9,54,5/14/2024,1344,26-35,Female,$100-150k,2,Doral, FL,6,Yes,Booth,Cash,1,2405,10,Madison,Booth
108,Southeast,Thin Mints,9,54,7/27/2024,1351,36-45,Female,<$50k,6,Garner, NC,6,No,Door-to-Door,Cash,4,324,16,Charlotte,Online
109,West,Samoas,3,18,7/13/2024,1418,36-45,Female,$100-150k,6,Hillsboro, OR,6,No,Door-to-Door,Credit Card,4,10777,8,Mia,Door-to-Door
110,Southeast,Girl Scout S'mores,4,24,4/12/2024,1117,18-25,Male,$100-150k,2,Tucker, GA,6,No,Online,Cash,3,15239,19,Isla,Online
111,Northeast,Do-si-dos,5,30,6/11/2024,1314,18-25,Male,$100-150k,2,Clarks Summit, PA,6,Yes,Online,Mobile Payment,4,50801,18,Maria,Online
112,Northeast,Girl Scout S'mores,3,18,5/27/2024,1149,36-45,Male,$50-100k,5,Dunmore, PA,6,Yes,Booth,Cash,4,50062,18,Grace,Online
113,Northeast,Trefoils,7,42,5/29/2024,1151,26-35,Female,$150-200k,4,Washington, DC,6,Yes,Online,Mobile Payment,5,2612,14,Arabella,Booth
114,South,Trefoils,6,36,1/3/2024,1471,26-35,Female,<$50k,3,Choctaw, OK,6,Yes,Booth,Mobile Payment,2,371,12,Mecca,Online
115,Northeast,Tagalongs,9,54,7/14/2024,1365,26-35,Male,$150-200k,4,Bronx, NY,6,No,Online,Cash,2,1236,12,Sydney,Online
116,Southeast,Thin Mints,10,60,6/8/2024,1202,46-55,Male,$100-150k,2,Apex, NC,6,Yes,Door-to-Door,Credit Card,1,02584,16,Naima,Online
117,Southeast,Adventurefuls,7,42,2/8/2024,1013,26-35,Male,<$50k,2,Miami, FL,6,No,Online,Credit Card,2,2417,10,Ruby,Online
118,Northeast,Tagalongs,6,36,10/12/2024,1341,26-35,Male,$150-200k,5,Pittston, PA,6,No,Online,Cash,4,3088,18,Daisy,Online
119,South,Thin Mints,8,48,8/10/2024,1483,26-35,Female,$150-200k,2,Choctaw, OK,6,Yes,Booth,Mobile Payment,3,371,9,Mecca,Door-to-Door
120,Southeast,Thin Mints,2,12,5/7/2024,1202,46-55,Male,$100-150k,2,Apex, NC,6,No,Door-to-Door,Cash,3,02584,16,Naima,Booth
121,Midwest,Trefoils,2,12,6/21/2024,1328,46-55,Male,$50-100k,6,Powell, OH,6,Yes,Door-to-Door,Cash,5,5169,9,Sadie,Booth
122,Southeast,Thin Mints,2,12,6/14/2024,1290,18-25,Male,$100-150k,3,Mint Hill, NC,6,Yes,Booth,Cash,4,547,11,Luna,Online
123,West,Samoas,5,30,5/17/2024,1167,26-35,Male,$100-150k,3,Portland, OR,6,Yes,Booth,Credit Card,1,10457,8,Eliana,Online
124,Northeast,Lemonades,2,12,6/29/2024,1030,36-45,Female,$100-150k,2,New York, NY,6,No,Booth,Cash,3,3990,8,Kennedy,Online
125,Southeast,Do-si-dos,1,6,4/10/2024,1140,18-25,Female,$100-150k,4,Orange Park, FL,6,Yes,Booth,Cash,2,31008,8,Maya,Booth
126,Northeast,Tagalongs,10,60,9/18/2024,1043,46-55,Female,$50-100k,2,Wilkes-Barre, PA,6,Yes,Booth,Cash,3,30130,18,Emilia,Online
127,South,Thin Mints,7,42,7/15/2024,1405,18-25,Male,$150-200k,2,Choctaw, OK,6,No,Booth,Cash,3,371,13,Mecca,Door-to-Door
128,Northeast,Lemon-Ups,8,48,4/1/2024,1354,36-45,Male,$50-100k,3,Union City, NJ,6,Yes,Booth,Mobile Payment,5,12201,17,Brooklyn,Booth
129,Southeast,Thin Mints,10,60,8/13/2024,1166,36-45,Male,$150-200k,4,Pineville, NC,6,Yes,Booth,Mobile Payment,4,2674,11,Piper,Booth
130,South,Samoas,9,54,1/28/2024,1442,36-45,Male,$50-100k,2,Choctaw, OK,6,No,Online,Cash,5,371,16,Mecca,Door-to-Door
131,Southeast,Samoas,9,54,4/28/2024,1449,26-35,Female,$150-200k,5,Garner, NC,6,No,Booth,Mobile Payment,1,324,16,Charlotte,Online
132,Southeast,Trefoils,7,42,3/14/2024,1316,18-25,Female,$50-100k,2,Mint Hill, NC,6,No,Door-to-Door,Mobile Payment,4,547,8,Luna,Booth
133,Northeast,Thin Mints,10,60,8/3/2024,1092,46-55,Female,<$50k,2,Secaucus, NJ,6,No,Door-to-Door,Credit Card,5,10289,17,Ivy,Online
134,Northeast,Toast-Yay!,1,6,9/23/2024,1229,36-45,Male,$150-200k,3,New Britain, CT,6,Yes,Door-to-Door,Cash,3,66731,16,Brianna,Booth
135,Southeast,Samoas,10,60,6/2/2024,1075,46-55,Male,<$50k,5,Morrisville, NC,6,No,Door-to-Door,Credit Card,3,407,16,Eleanor,Booth
136,Southeast,Thin Mints,4,24,8/7/2024,1222,36-45,Female,<$50k,3,Milton, GA,6,Yes,Booth,Mobile Payment,2,18529,8,Claire,Online
137,South,Samoas,8,48,9/21/2024,1185,46-55,Female,$50-100k,5,Yukon, OK,6,Yes,Online,Mobile Payment,4,358,13,Quinn,Online
138,Southeast,Thin Mints,9,54,4/15/2024,1268,46-55,Female,$150-200k,3,Matthews, NC,6,No,Booth,Cash,5,664,15,Scarlett,Door-to-Door
139,Southeast,Lemonades,10,60,9/12/2024,1333,18-25,Female,<$50k,5,St. Augustine, FL,6,No,Booth,Mobile Payment,3,53021,8,Autumn,Online
140,South,Caramel Chocolate Chip,3,18,8/10/2024,1098,26-35,Female,$100-150k,2,Memphis, TN,6,No,Booth,Cash,2,10543,11,Violet,Door-to-Door
141,Northeast,Samoas,2,12,3/2/2024,1303,26-35,Female,$50-100k,6,Washington, DC,6,Yes,Booth,Cash,5,2612,14,Arabella,Booth
142,South,Do-si-dos,8,48,9/18/2024,1274,18-25,Female,<$50k,4,Dallas, TX,6,Yes,Door-to-Door,Mobile Payment,4,3352,8,Emily,Booth
143,Midwest,Thin Mints,2,12,8/1/2024,1153,46-55,Female,$50-100k,3,Columbus, OH,6,Yes,Online,Credit Card,2,6824,9,Isabella,Door-to-Door
144,Northeast,Samoas,2,12,4/6/2024,1301,26-35,Male,$150-200k,6,Washington, DC,6,Yes,Online,Cash,3,2612,14,Arabella,Booth
145,Northeast,Thin Mints,5,30,1/15/2024,1241,18-25,Female,$50-100k,4,Staten Island, NY,6,No,Booth,Credit Card,4,75312,20,Reagan,Online
146,Northeast,Samoas,5,30,3/24/2024,1132,46-55,Female,$150-200k,2,Queens, NY,6,No,Door-to-Door,Mobile Payment,1,4032,10,Elena,Online
147,West,Trefoils,6,36,5/27/2024,1452,26-35,Female,<$50k,2,Paradise, NV,6,Yes,Booth,Credit Card,5,396,20,Leah,Online
148,Northeast,Samoas,7,42,9/11/2024,1240,36-45,Female,$50-100k,3,Secaucus, NJ,6,Yes,Online,Credit Card,1,10289,17,Ivy,Booth
149,Southeast,Girl Scout S'mores,2,12,9/2/2024,1413,18-25,Male,$150-200k,5,Callahan, FL,6,Yes,Booth,Credit Card,4,63013,10,De'ana,Online
150,Southeast,Do-si-dos,4,24,3/27/2024,1447,36-45,Male,$150-200k,5,Raleigh, NC,6,Yes,Booth,Mobile Payment,4,1048,16,Josephine,Online
151,South,Tagalongs,5,30,4/3/2024,1211,18-25,Female,$150-200k,3,Irving, TX,6,Yes,Booth,Cash,1,2278,8,Nora,Booth
152,Northeast,Toast-Yay!,4,24,10/12/2024,1297,46-55,Female,<$50k,4,Staten Island, NY,6,No,Online,Cash,5,75312,10,Reagan,Online
153,Southeast,Do-si-dos,6,36,4/27/2024,1406,46-55,Male,<$50k,6,Sullivan’s Island, SC,6,No,Online,Credit Card,2,3613,17,Ivy,Booth
154,West,Thin Mints,3,18,3/26/2024,1099,46-55,Female,$50-100k,2,Beaverton, OR,6,No,Online,Cash,3,81503,8,Kamora,Door-to-Door
155,Northeast,Thin Mints,2,12,5/17/2024,1176,18-25,Male,$100-150k,5,Colonie, NY,6,Yes,Booth,Credit Card,4,1014,15,Chloe,Booth
156,Northeast,Thin Mints,10,60,5/8/2024,1073,18-25,Female,$50-100k,4,New York, NY,6,No,Online,Mobile Payment,3,3990,17,Kennedy,Booth
157,Southeast,Thin Mints,4,24,5/19/2024,1319,36-45,Male,$100-150k,5,St. Augustine, FL,6,No,Booth,Credit Card,3,53021,9,Autumn,Door-to-Door
158,Northeast,Trefoils,1,6,10/4/2024,1329,26-35,Female,$150-200k,2,Hoboken, NJ,6,No,Booth,Credit Card,2,12019,17,Layla,Booth
159,Northeast,Lemon-Ups,4,24,2/15/2024,1034,18-25,Male,$50-100k,3,Hartford, CT,6,No,Booth,Mobile Payment,1,10057,18,Aria,Online
160,South,Lemonades,9,54,2/16/2024,1185,46-55,Female,$50-100k,5,Yukon, OK,6,No,Door-to-Door,Mobile Payment,2,358,13,Quinn,Online
161,Northeast,Toast-Yay!,7,42,10/17/2024,1232,46-55,Male,$100-150k,4,New Britain, CT,6,Yes,Booth,Mobile Payment,3,66731,10,Brianna,Booth
162,Southeast,Thin Mints,4,24,6/18/2024,1022,18-25,Male,$100-150k,2,Jacksonville, FL,6,Yes,Door-to-Door,Mobile Payment,3,72011,18,Stella,Booth
163,Northeast,Samoas,9,54,6/28/2024,1188,26-35,Female,$50-100k,5,Dunmore, PA,6,No,Booth,Mobile Payment,1,50062,18,Grace,Door-to-Door
164,Northeast,Samoas,5,30,9/20/2024,1128,26-35,Female,<$50k,2,Scranton, PA,6,No,Booth,Cash,4,52145,18,Willow,Online
